"ID","BDAT","LACT","Event","DIM","Date","Remark","Protocols","Technician",
       245 ,10/20/19,   1 ,PNEU       , 150 ,05/02/22,OXY.50IV        ,OXYTET.50       ,,
       249 ,10/20/19,   2 ,PNEU       , 226 ,08/10/23,POL.26IM        ,Polyflex.26     ,Mayte,
       253 ,10/20/19,   1 ,DIARHEA    ,   3 ,11/11/21,                ,PUMP/BOLUS,Diana,
       253 ,10/20/19,   1 ,DIARHEA    ,   4 ,11/12/21,                ,PUMP/BOLUS,Diana,
       254 ,10/20/19,   2 ,DIARHEA    , 136 ,03/24/23,PMP.BOL         ,PUMP/BOLUS,Lidia,
       259 ,10/20/19,   2 ,DIARHEA    ,   2 ,12/09/22,PMP.BOL         ,PUMP/BOLUS,Lidia,
       299 ,05/31/20,   1 ,PNEU       , 167 ,10/18/22,OXY.59IV        ,Oxytet.59       ,,
       325 ,05/31/20,   1 ,PNEU       ,   6 ,05/11/22,POL.22IM        ,PolyFlex.22     ,Moise's,
       366 ,09/29/16,   4 ,DIARHEA    ,  82 ,09/08/22,PMP.BOL         ,PUMP/BOLUS,Diana,
       484 ,05/20/20,   1 ,PNEU       ,  12 ,06/02/22,XC.20BOE        ,EXCEDE.20       ,Moise's,
       484 ,05/20/20,   1 ,PNEU       ,  38 ,06/28/22,POL.26IM        ,Polyflex.26     ,Moise's,
       484 ,05/20/20,   1 ,DIARHEA    ,  68 ,07/28/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
       487 ,06/01/20,   1 ,PNEU       ,   5 ,06/26/22,CEF.26SQ        ,Ceftiofur.26    ,Miguel,
       487 ,06/01/20,   1 ,DIARHEA    ,  12 ,07/03/22,PMP.BOL         ,PUMP/BOLUS,Miguel,
       489 ,05/23/17,   4 ,DIARHEA    ,   5 ,12/31/22,PMP.BOL         ,PUMP/BOLUS,Gamaliel,
       600 ,09/25/20,   1 ,PNEU       ,  45 ,10/18/22,OXY.59IV        ,Oxytet.59       ,,
       604 ,07/18/20,   2 ,DIARHEA    ,   2 ,06/22/23,PMP.BOL         ,PUMP/BOLUS,,
       668 ,05/10/21,   1 ,PNEU       ,  58 ,06/30/23,NOTREAT         ,No Treat        ,,
       684 ,09/01/12,   8 ,PNEU       ,  34 ,08/24/21,                ,Ceftiofur.22    ,Tara,
       689 ,07/11/21,   1 ,DIARHEA    ,   3 ,06/21/23,PMP.BOL         ,PUMP/BOLUS,Mayte,
       694 ,09/05/12,   8 ,DIARHEA    , 194 ,10/29/22,PMP.BOL         ,PUMP/BOLUS,Diana,
       698 ,11/05/20,   1 ,PNEU       ,  28 ,12/02/22,POL.26IM        ,Polyflex.26     ,,
       718 ,11/05/20,   1 ,DIARHEA    ,   4 ,11/04/22,PMP.BOL         ,PUMP/BOLUS,Diana,
       718 ,11/05/20,   1 ,DIARHEA    ,   8 ,11/08/22,PMP.BOL         ,PUMP/BOLUS,Diana,
       734 ,08/27/20,   1 ,DIARHEA    , 186 ,01/31/23,PMP.BOL         ,PUMP/BOLUS,Nico,
       736 ,12/15/17,   3 ,DIARHEA    , 138 ,02/01/23,PMP.BOL         ,PUMP/BOLUS,Lidia,
       740 ,12/21/17,   3 ,PNEU       ,  48 ,12/11/22,POL.26IM        ,Polyflex.26     ,Gamaliel,
       775 ,04/17/18,   2 ,PNEU       ,  96 ,03/24/22,OXYTET          ,OXYTET.50       ,,
       868 ,09/15/18,   2 ,PNEU       ,  28 ,04/01/22,                ,PolyFlex.22     ,Diana,
       871 ,09/18/18,   2 ,DIARHEA    ,  11 ,04/19/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
       877 ,09/22/18,   3 ,DIARHEA    ,  10 ,08/23/23,PMP.BOL         ,PUMP/BOLUS,,
       886 ,09/29/18,   2 ,DIARHEA    ,   4 ,09/03/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
       888 ,09/30/18,   2 ,PNEU       ,   4 ,04/06/22,XC.20BOE        ,EXCEDE.20       ,Diana,
       888 ,09/30/18,   2 ,DIARHEA    ,  20 ,04/22/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
       888 ,09/30/18,   2 ,DIARHEA    ,  22 ,04/24/22,PMP.BOL         ,PUMP/BOLUS,Miguel,
       888 ,09/30/18,   2 ,DIARHEA    ,  24 ,04/26/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
       905 ,10/25/19,   1 ,PNEU       ,  10 ,03/16/22,                ,PolyFlex.22     ,Diana,
       920 ,11/16/18,   2 ,PNEU       ,  30 ,07/06/22,CEF.22SQ        ,Ceftiofur.22    ,Moise's,
       926 ,11/24/18,   2 ,DIARHEA    , 209 ,03/30/23,PMP.BOL         ,PUMP/BOLUS,Lidia,
       931 ,12/03/18,   2 ,DIARHEA    ,   7 ,08/10/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
       938 ,12/13/18,   2 ,DIARHEA    ,   2 ,05/01/22,PMP.BOL         ,PUMP/BOLUS,,
       938 ,12/13/18,   3 ,DIARHEA    ,  30 ,05/07/23,PMP.BOL         ,PUMP/BOLUS,Mayte,
       940 ,11/11/20,   2 ,DIARHEA    ,   4 ,09/30/23,PMP.BOL         ,PUMP/BOLUS,,
       941 ,12/21/18,   1 ,PNEU       , 307 ,03/21/22,OXYTET          ,OXYTET.50       ,,
       941 ,12/21/18,   2 ,PNEU       ,   2 ,10/26/22,POL.26IM        ,Polyflex.26     ,Diana,
       955 ,01/31/19,   1 ,PNEU       , 202 ,03/20/22,OXYTET          ,OXYTET.50       ,,
       967 ,03/28/19,   2 ,PNEU       ,   3 ,08/31/22,POL.26IM        ,Polyflex.26     ,Diana,
       986 ,02/23/13,   7 ,PNEU       , 102 ,09/10/21,                ,Ceftiofur.22    ,Tara,
      1029 ,08/28/19,   2 ,PNEU       ,   4 ,11/14/22,POL.26IM        ,Polyflex.26     ,Nico,
      1029 ,08/28/19,   2 ,DIARHEA    ,   7 ,11/17/22,PMP.BOL         ,PUMP/BOLUS,Lidia,
      1035 ,09/02/19,   1 ,PNEU       , 200 ,03/22/22,OXYTET          ,OXYTET.50       ,,
      1056 ,09/14/19,   2 ,PNEU       ,   4 ,08/21/22,XC.20BOE        ,EXCEDE.20       ,Diana,
      1061 ,09/16/19,   1 ,PNEU       ,  11 ,03/31/22,                ,PolyFlex.22     ,Diana,
      1068 ,09/18/19,   1 ,PNEU       , 182 ,04/01/22,OXYTET          ,OXYTET.50       ,,
      1083 ,09/22/19,   1 ,PNEU       ,   9 ,04/03/22,                ,PolyFlex.22     ,Diana,
      1083 ,09/22/19,   2 ,PNEU       ,   6 ,04/25/23,CEF.26SQ        ,Ceftiofur.26    ,Mayte,
      1086 ,09/26/19,   2 ,PNEU       ,   3 ,11/21/22,POL.22IM        ,PolyFlex.22     ,Lidia,
      1104 ,10/10/19,   1 ,PNEU       ,   9 ,04/02/22,                ,PolyFlex.22     ,,
      1125 ,11/03/19,   1 ,PNEU       ,  16 ,05/17/22,POL.26IM        ,Polyflex.26     ,Miguel,
      1132 ,11/15/19,   1 ,DIARHEA    ,  31 ,04/16/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      1133 ,11/16/19,   1 ,PNEU       ,   2 ,06/21/22,CEF.26SQ        ,Ceftiofur.26    ,Moise's,
      1178 ,05/19/13,   7 ,DIARHEA    ,   1 ,01/09/22,                ,PUMP/BOLUS,Belsasar,
      1178 ,05/19/13,   7 ,DIARHEA    ,   2 ,01/10/22,                ,PUMP/BOLUS,Diana,
      1178 ,05/19/13,   7 ,DIARHEA    ,   3 ,01/11/22,                ,PUMP/BOLUS,Diana,
      1178 ,05/19/13,   8 ,DIARHEA    ,   7 ,02/14/23,PMP.BOL         ,PUMP/BOLUS,Lidia,
      1189 ,04/13/20,   1 ,DIARHEA    ,   5 ,06/06/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      1189 ,04/13/20,   1 ,DIARHEA    ,   6 ,06/07/22,CEF.26SQ        ,Ceftiofur.26    ,,
      1189 ,04/13/20,   1 ,DIARHEA    ,  11 ,06/12/22,PMP.BOL         ,PUMP/BOLUS,Miguel,
      1189 ,04/13/20,   1 ,DIARHEA    ,  20 ,06/21/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      1205 ,05/26/13,   8 ,DIARHEA    ,   6 ,06/03/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      1212 ,05/28/13,   7 ,DIARHEA    , 115 ,04/30/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      1212 ,05/28/13,   7 ,PNEU       , 167 ,06/21/22,POL.26IM        ,Polyflex.26     ,Moise's,
      1212 ,05/28/13,   7 ,PNEU       , 192 ,07/16/22,XC.20BOE        ,EXCEDE.20       ,Moise's,
      1212 ,05/28/13,   7 ,PNEU       , 220 ,08/13/22,XC.20BOE        ,EXCEDE.20       ,Moise's,
      1212 ,05/28/13,   7 ,DIARHEA    , 221 ,08/14/22,PMP.BOL         ,PUMP/BOLUS,Diana,
      1221 ,05/23/20,   1 ,PNEU       ,   3 ,06/01/22,CEF.26SQ        ,Ceftiofur.26    ,Moise's,
      1318 ,06/27/13,   7 ,PNEU       ,   9 ,11/13/21,                ,Ceftiofur.22    ,Diana,
      1411 ,07/23/13,   5 ,DIARHEA    , 353 ,03/13/21,                ,PUMP/BOLUS,Diana,
      1411 ,07/23/13,   5 ,DIARHEA    , 354 ,03/14/21,                ,PUMP/BOLUS,,
      1411 ,07/23/13,   5 ,DIARHEA    , 355 ,03/15/21,                ,PUMP/BOLUS,Diana,
      1471 ,08/22/13,   7 ,DIARHEA    ,  51 ,09/16/21,                ,PUMP/BOLUS,Tara,
      1499 ,09/05/13,   7 ,DIARHEA    ,   3 ,12/12/21,                ,PUMP/BOLUS,Belsasar,
      1499 ,09/05/13,   7 ,DIARHEA    ,   4 ,12/13/21,                ,PUMP/BOLUS,Diana,
      1499 ,09/05/13,   7 ,DIARHEA    ,   5 ,12/14/21,                ,PUMP/BOLUS,Diana,
      1540 ,09/24/13,   6 ,PNEU       ,   4 ,04/14/21,                ,Ceftiofur.22    ,Diana,
      1540 ,09/24/13,   6 ,DIARHEA    ,   9 ,04/19/21,                ,PUMP/BOLUS,Diana,
      1540 ,09/24/13,   6 ,DIARHEA    ,  10 ,04/20/21,                ,PUMP/BOLUS,Diana,
      1540 ,09/24/13,   6 ,DIARHEA    ,  11 ,04/21/21,                ,PUMP/BOLUS,Diana,
      1552 ,09/29/13,   6 ,DIARHEA    ,  60 ,04/07/21,ALF/YMCP,PUMP/BOLUS,Diana,
      1552 ,09/29/13,   6 ,DIARHEA    ,  62 ,04/09/21,                ,PUMP/BOLUS,Diana,
      1552 ,09/29/13,   6 ,DIARHEA    ,  63 ,04/10/21,                ,PUMP/BOLUS,Diana,
      1573 ,10/14/13,   7 ,DIARHEA    ,  15 ,03/19/22,                ,PUMP/BOLUS,Diana,
      1617 ,11/08/13,   7 ,PNEU       , 260 ,03/26/22,OXYTET          ,OXYTET.50       ,Diana,
      1617 ,11/08/13,   8 ,DIARHEA    ,  13 ,09/02/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      1617 ,11/08/13,   8 ,DIARHEA    ,  17 ,09/06/22,PMP.BOL         ,PUMP/BOLUS,Diana,
      1617 ,11/08/13,   8 ,DIARHEA    ,  20 ,09/09/22,PMP.BOL         ,PUMP/BOLUS,Diana,
      1653 ,11/26/13,   6 ,DIARHEA    , 125 ,12/09/21,                ,PUMP/BOLUS,Diana,
      1653 ,11/26/13,   6 ,DIARHEA    , 126 ,12/10/21,                ,PUMP/BOLUS,Diana,
      1653 ,11/26/13,   6 ,DIARHEA    , 127 ,12/11/21,                ,PUMP/BOLUS,Diana,
      1768 ,02/12/14,   7 ,PNEU       ,   3 ,04/23/22,XC.20BOE        ,EXCEDE.20       ,Moise's,
      1783 ,02/20/14,   7 ,DIARHEA    ,   3 ,05/01/22,PMP.BOL         ,PUMP/BOLUS,,
      1812 ,04/05/20,   1 ,PNEU       ,  58 ,07/06/22,OXY.59IV        ,Oxytet.59       ,,
      1837 ,04/05/20,   1 ,PNEU       ,   4 ,04/20/22,XC.20BOE        ,EXCEDE.20       ,Moise's,
      1853 ,03/21/14,   7 ,DIARHEA    ,   8 ,04/27/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      1862 ,03/24/14,   6 ,PNEU       , 126 ,10/27/21,SCIMIC          ,PolyFlex.22     ,Tara,
      1862 ,03/24/14,   6 ,PNEU       , 225 ,02/03/22,                ,Ceftiofur.22    ,Diana,
      1956 ,05/04/14,   7 ,DIARHEA    ,   4 ,05/18/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      1956 ,05/04/14,   7 ,DIARHEA    ,  18 ,06/01/22,CEF.26SQ        ,Ceftiofur.26    ,,
      1957 ,05/05/14,   6 ,DIARHEA    ,   6 ,09/19/21,                ,PUMP/BOLUS,Belsasar,
      1957 ,05/05/14,   6 ,PNEU       ,  44 ,10/27/21,                ,PolyFlex.22     ,Tara,
      1974 ,05/12/14,   5 ,PNEU       , 223 ,05/03/21,                ,PolyFlex.22     ,Diana,
      2052 ,06/25/14,   6 ,PNEU       , 311 ,07/16/22,XC.20BOE        ,EXCEDE.20       ,Moise's,
      2056 ,06/26/14,   6 ,DIARHEA    ,  16 ,03/18/22,  YMCP/B,PUMP/BOLUS,Diana,
      2067 ,06/29/14,   6 ,DIARHEA    , 130 ,10/29/21,                ,PUMP/BOLUS,Tara,
      2091 ,07/06/14,   6 ,DIARHEA    ,   4 ,04/13/21,                ,PUMP/BOLUS,Diana,
      2091 ,07/06/14,   6 ,DIARHEA    ,   5 ,04/14/21,                ,PUMP/BOLUS,Diana,
      2091 ,07/06/14,   6 ,DIARHEA    ,   6 ,04/15/21,                ,PUMP/BOLUS,Diana,
      2152 ,07/31/14,   6 ,DIARHEA    ,   7 ,10/09/21,                ,PUMP/BOLUS,Diana,
      2152 ,07/31/14,   6 ,DIARHEA    ,   8 ,10/10/21,                ,PUMP/BOLUS,Belsasar,
      2163 ,08/07/14,   6 ,DIARHEA    ,   5 ,01/16/22,                ,PUMP/BOLUS,Belsasar,
      2163 ,08/07/14,   6 ,DIARHEA    ,   6 ,01/17/22,                ,PUMP/BOLUS,Diana,
      2163 ,08/07/14,   6 ,DIARHEA    ,   7 ,01/18/22,                ,PUMP/BOLUS,Diana,
      2163 ,08/07/14,   6 ,PNEU       ,  36 ,02/16/22,YMCP            ,PolyFlex.22     ,Diana,
      2183 ,08/15/14,   6 ,DIARHEA    , 126 ,11/14/21,                ,PUMP/BOLUS,Belsasar,
      2183 ,08/15/14,   6 ,DIARHEA    , 127 ,11/15/21,                ,PUMP/BOLUS,Diana,
      2183 ,08/15/14,   6 ,DIARHEA    , 128 ,11/16/21,                ,PUMP/BOLUS,Diana,
      2294 ,10/11/14,   7 ,DIARHEA    ,   4 ,12/02/22,PMP.BOL         ,PUMP/BOLUS,Lidia,
      2313 ,10/17/14,   7 ,DIARHEA    ,   8 ,12/24/22,PMP.BOL         ,PUMP/BOLUS,Gamaliel,
      2320 ,10/20/14,   7 ,DIARHEA    ,  10 ,10/14/22,PMP.BOL         ,PUMP/BOLUS,Diana,
      2320 ,10/20/14,   7 ,PNEU       ,  10 ,10/14/22,POL.26IM        ,Polyflex.26     ,Diana,
      2364 ,11/09/14,   7 ,DIARHEA    ,   7 ,09/02/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      2385 ,11/23/14,   6 ,DIARHEA    ,  14 ,02/05/22,                ,PUMP/BOLUS,Diana,
      2385 ,11/23/14,   6 ,DIARHEA    ,  15 ,02/06/22,                ,PUMP/BOLUS,Diana,
      2385 ,11/23/14,   6 ,DIARHEA    ,  16 ,02/07/22,                ,PUMP/BOLUS,Diana,
      2405 ,12/10/14,   6 ,PNEU       , 244 ,08/10/22,POL.26IM        ,Polyflex.26     ,Moise's,
      2422 ,12/20/14,   6 ,DIARHEA    ,  14 ,01/21/22,                ,PUMP/BOLUS,Diana,
      2422 ,12/20/14,   6 ,DIARHEA    ,  15 ,01/22/22,                ,PUMP/BOLUS,Diana,
      2422 ,12/20/14,   6 ,DIARHEA    ,  16 ,01/23/22,                ,PUMP/BOLUS,Belsasar,
      2485 ,01/29/15,   5 ,DIARHEA    , 258 ,11/05/21,                ,PUMP/BOLUS,Diana,
      2485 ,01/29/15,   5 ,DIARHEA    , 259 ,11/06/21,                ,PUMP/BOLUS,Diana,
      2485 ,01/29/15,   5 ,DIARHEA    , 260 ,11/07/21,                ,PUMP/BOLUS,Belsasar,
      2494 ,02/02/15,   4 ,DIARHEA    , 264 ,06/25/21,                ,PUMP/BOLUS,Tara,
      2513 ,02/15/15,   6 ,DIARHEA    ,   5 ,10/04/22,PMP.BOL         ,PUMP/BOLUS,Diana,
      2534 ,10/23/16,   3 ,PNEU       ,  12 ,07/06/21,BLIT/SMC,PolyFlex.22     ,Tara,
      2562 ,03/17/15,   5 ,PNEU       ,   8 ,04/03/21,                ,Ceftiofur.22    ,Diana,
      2576 ,03/23/15,   5 ,PNEU       , 126 ,12/01/21,                ,Ceftiofur.22    ,Diana,
      2578 ,03/23/15,   6 ,DIARHEA    ,  13 ,03/08/22,                ,PUMP/BOLUS,Diana,
      2578 ,03/23/15,   6 ,DIARHEA    ,  14 ,03/09/22,                ,PUMP/BOLUS,Diana,
      2578 ,03/23/15,   6 ,DIARHEA    ,  15 ,03/10/22,                ,PUMP/BOLUS,Diana,
      2578 ,03/23/15,   6 ,PNEU       ,  16 ,03/11/22,OXYTET          ,OXYTET.50       ,Diana,
      2581 ,03/25/15,   5 ,DIARHEA    ,  18 ,04/13/21,                ,PUMP/BOLUS,Diana,
      2581 ,03/25/15,   5 ,DIARHEA    ,  19 ,04/14/21,                ,PUMP/BOLUS,Diana,
      2581 ,03/25/15,   5 ,DIARHEA    ,  20 ,04/15/21,                ,PUMP/BOLUS,Diana,
      2594 ,04/01/15,   6 ,DIARHEA    ,  63 ,04/30/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      2609 ,04/11/15,   5 ,DIARHEA    ,  29 ,04/06/21,ALF/YMCP,PUMP/BOLUS,Diana,
      2609 ,04/11/15,   5 ,DIARHEA    ,  30 ,04/07/21,ALF/YMCP,PUMP/BOLUS,Diana,
      2609 ,04/11/15,   5 ,DIARHEA    ,  31 ,04/08/21,                ,PUMP/BOLUS,Diana,
      2619 ,04/19/15,   4 ,PNEU       , 192 ,03/31/21,                ,PolyFlex.22     ,Diana,
      2671 ,05/09/15,   6 ,DIARHEA    ,  11 ,05/29/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      2671 ,05/09/15,   6 ,DIARHEA    ,  28 ,06/15/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      2671 ,05/09/15,   6 ,PNEU       ,  50 ,07/07/22,CEF.26SQ        ,Ceftiofur.26    ,Moise's,
      2676 ,05/11/15,   6 ,DIARHEA    ,   1 ,06/15/22,CEF.26SQ        ,Ceftiofur.26    ,,
      2676 ,05/11/15,   6 ,DIARHEA    ,   1 ,06/15/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      2676 ,05/11/15,   7 ,DIARHEA    ,   6 ,07/17/23,PMP.BOL         ,PUMP/BOLUS,,
      2676 ,05/11/15,   7 ,DIARHEA    ,  12 ,07/23/23,NO TREAT        ,PUMP/BOLUS,,
      2679 ,05/13/15,   6 ,PNEU       ,   3 ,06/21/22,CEF.26SQ        ,Ceftiofur.26    ,Moise's,
      2699 ,05/25/15,   5 ,DIARHEA    ,   5 ,12/14/21,                ,PUMP/BOLUS,Diana,
      2699 ,05/25/15,   5 ,DIARHEA    ,   6 ,12/15/21,                ,PUMP/BOLUS,Diana,
      2699 ,05/25/15,   5 ,DIARHEA    ,   7 ,12/16/21,                ,PUMP/BOLUS,Diana,
      2699 ,05/25/15,   5 ,DIARHEA    ,  19 ,12/28/21,                ,PUMP/BOLUS,Diana,
      2699 ,05/25/15,   5 ,DIARHEA    ,  20 ,12/29/21,                ,PUMP/BOLUS,Diana,
      2699 ,05/25/15,   5 ,DIARHEA    ,  21 ,12/30/21,                ,PUMP/BOLUS,Diana,
      2699 ,05/25/15,   6 ,DIARHEA    ,   2 ,02/24/23,PMP.BOL         ,PUMP/BOLUS,Lidia,
      2699 ,05/25/15,   6 ,DIARHEA    ,   4 ,02/26/23,PMP.BOL         ,PUMP/BOLUS,Mayte,
      2729 ,06/09/15,   5 ,PNEU       , 161 ,12/05/21,ALF/YMCP,PolyFlex.22     ,Belsasar,
      2734 ,06/10/15,   6 ,DIARHEA    ,   8 ,10/10/22,PMP.BOL         ,PUMP/BOLUS,Diana,
      2756 ,06/19/15,   6 ,PNEU       ,   3 ,07/22/22,CEF.26SQ        ,Ceftiofur.26    ,Moise's,
      2756 ,06/19/15,   6 ,PNEU       ,  28 ,08/16/22,XC.20BOE        ,EXCEDE.20       ,Moise's,
      2757 ,06/19/15,   6 ,PNEU       ,  14 ,08/12/22,CEF.26SQ        ,Ceftiofur.26    ,Moise's,
      2761 ,06/21/15,   5 ,DIARHEA    ,  22 ,09/19/21,                ,PUMP/BOLUS,Belsasar,
      2761 ,06/21/15,   5 ,DIARHEA    , 186 ,03/02/22,                ,PUMP/BOLUS,Diana,
      2761 ,06/21/15,   5 ,DIARHEA    , 187 ,03/03/22,                ,PUMP/BOLUS,Diana,
      2761 ,06/21/15,   5 ,DIARHEA    , 188 ,03/04/22,                ,PUMP/BOLUS,Miguel,
      2761 ,06/21/15,   5 ,DIARHEA    , 262 ,05/17/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      2790 ,06/29/15,   5 ,DIARHEA    , 359 ,09/28/22,PMP.BOL         ,PUMP/BOLUS,Diana,
      2790 ,06/29/15,   5 ,DIARHEA    , 359 ,09/28/22,PMP.BOL         ,PUMP/BOLUS,Diana,
      2791 ,06/29/15,   5 ,DIARHEA    ,   5 ,09/25/21,                ,PUMP/BOLUS,Diana,
      2791 ,06/29/15,   5 ,DIARHEA    ,   6 ,09/26/21,                ,PUMP/BOLUS,Belsasar,
      2802 ,07/03/15,   5 ,DIARHEA    ,   2 ,05/19/21,MAGLAX          ,PUMP/BOLUS,Tara,
      2804 ,07/04/15,   5 ,DIARHEA    ,  87 ,09/03/21,                ,PUMP/BOLUS,Tara,
      2823 ,07/13/15,   6 ,DIARHEA    ,   2 ,05/12/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      2870 ,07/24/15,   5 ,DIARHEA    ,   6 ,06/19/21,                ,PUMP/BOLUS,Belsasar,
      2870 ,07/24/15,   5 ,DIARHEA    ,  10 ,06/23/21,LAX             ,PUMP/BOLUS,Tara,
      2870 ,07/24/15,   5 ,PNEU       ,  80 ,09/01/21,                ,PolyFlex.22     ,Tara,
      2886 ,07/29/15,   6 ,PNEU       ,   8 ,10/16/22,CEF.26SQ        ,Ceftiofur.26    ,Diana,
      2890 ,07/31/15,   6 ,DIARHEA    ,   8 ,10/03/22,PMP.BOL         ,PUMP/BOLUS,Diana,
      2899 ,08/04/15,   6 ,DIARHEA    ,   4 ,08/23/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      2899 ,08/04/15,   6 ,DIARHEA    ,   6 ,08/25/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
      2906 ,08/05/15,   5 ,DIARHEA    ,   5 ,07/03/21,                ,PUMP/BOLUS,Belsasar,
      2906 ,08/05/15,   5 ,DIARHEA    ,   6 ,07/04/21,                ,PUMP/BOLUS,Belsasar,
      2913 ,08/09/15,   4 ,DIARHEA    , 275 ,04/09/21,                ,PUMP/BOLUS,Diana,
      2913 ,08/09/15,   4 ,DIARHEA    , 276 ,04/10/21,                ,PUMP/BOLUS,Diana,
      2913 ,08/09/15,   4 ,DIARHEA    , 277 ,04/11/21,                ,PUMP/BOLUS,Belsasar,
      2915 ,08/09/15,   6 ,DIARHEA    ,   8 ,03/06/23,PMP.BOL         ,PUMP/BOLUS,Mayte,
      2919 ,08/12/15,   5 ,DIARHEA    ,  98 ,10/30/21,                ,PUMP/BOLUS,Diana,
