"ID","CBRD","BDAT","BW8T","RPRO","GHDAT","Event","DIM","Date","Remark","Protocols","Technician",
      8485 ,H    ,05/29/21,     0 ,PREG    ,02/09/23,MEASURE    , 177 ,11/22/21,  396/45,                ,,
      8485 ,H    ,05/29/21,     0 ,PREG    ,02/09/23,MEASURE    , 377 ,06/10/22,  850/54,                ,,
      8485 ,H    ,05/29/21,     0 ,PREG    ,02/09/23,MEASURE    , 621 ,02/09/23,1320            ,                ,,
      8486 ,H    ,05/29/21,     0 , SLD/DIE,00000000 ,MEASURE    , 177 ,11/22/21,  302/42,                ,,
      8487 ,H    ,05/29/21,     0 ,PREG    ,03/02/23,MEASURE    , 177 ,11/22/21,  378/45,                ,,
      8487 ,H    ,05/29/21,     0 ,PREG    ,03/02/23,MEASURE    , 642 ,03/02/23,1320            ,                ,,
      8488 ,H    ,05/30/21,     0 ,PREG    ,03/23/23,MEASURE    , 176 ,11/22/21,  374/45,                ,,
      8488 ,H    ,05/30/21,     0 ,PREG    ,03/23/23,MEASURE    , 662 ,03/23/23,1490            ,                ,,
      8489 ,H    ,05/30/21,     0 ,PREG    ,02/09/23,MEASURE    , 176 ,11/22/21,  406/46,                ,,
      8489 ,H    ,05/30/21,     0 ,PREG    ,02/09/23,MEASURE    , 376 ,06/10/22,  820/54,                ,,
      8489 ,H    ,05/30/21,     0 ,PREG    ,02/09/23,MEASURE    , 620 ,02/09/23,1350            ,                ,,
      8490 ,H    ,05/31/21,     0 ,PREG    ,02/09/23,MEASURE    , 175 ,11/22/21,  380/45,                ,,
      8490 ,H    ,05/31/21,     0 ,PREG    ,02/09/23,MEASURE    , 619 ,02/09/23,1250            ,                ,,
      8491 ,H    ,05/31/21,     0 ,PREG    ,02/09/23,MEASURE    , 175 ,11/22/21,  378/45,                ,,
      8491 ,H    ,05/31/21,     0 ,PREG    ,02/09/23,MEASURE    , 375 ,06/10/22,  820/54,                ,,
      8491 ,H    ,05/31/21,     0 ,PREG    ,02/09/23,MEASURE    , 619 ,02/09/23,1220            ,                ,,
      8492 ,H    ,05/31/21,     0 ,PREG    ,04/06/23,MEASURE    , 175 ,11/22/21,  370/45,                ,,
      8492 ,H    ,05/31/21,     0 ,PREG    ,04/06/23,MEASURE    , 675 ,04/06/23,1380            ,                ,,
      8493 ,H    ,05/31/21,     0 ,PREG    ,03/17/23,MEASURE    , 175 ,11/22/21,  433/47,                ,,
      8493 ,H    ,05/31/21,     0 ,PREG    ,03/17/23,MEASURE    , 375 ,06/10/22,                ,                ,,
      8493 ,H    ,05/31/21,     0 ,PREG    ,03/17/23,MEASURE    , 654 ,03/16/23,1520            ,                ,,
      8494 ,H    ,06/01/21,     0 ,PREG    ,02/09/23,MEASURE    , 174 ,11/22/21,  374/45,                ,,
      8494 ,H    ,06/01/21,     0 ,PREG    ,02/09/23,MEASURE    , 374 ,06/10/22,  850/54,                ,,
      8494 ,H    ,06/01/21,     0 ,PREG    ,02/09/23,MEASURE    , 618 ,02/09/23,1280            ,                ,,
      8495 ,H    ,06/01/21,     0 ,PREG    ,02/09/23,MEASURE    , 174 ,11/22/21,  366/45,                ,,
      8495 ,H    ,06/01/21,     0 ,PREG    ,02/09/23,MEASURE    , 374 ,06/10/22,  830/54,                ,,
      8495 ,H    ,06/01/21,     0 ,PREG    ,02/09/23,MEASURE    , 618 ,02/09/23,1320            ,                ,,
      8496 ,H    ,06/01/21,     0 ,PREG    ,03/17/23,MEASURE    , 174 ,11/22/21,  354/45,                ,,
      8496 ,H    ,06/01/21,     0 ,PREG    ,03/17/23,MEASURE    , 653 ,03/16/23,1340            ,                ,,
      8497 ,H    ,06/02/21,     0 ,PREG    ,02/09/23,MEASURE    , 173 ,11/22/21,  390/45,                ,,
      8497 ,H    ,06/02/21,     0 ,PREG    ,02/09/23,MEASURE    , 373 ,06/10/22,  800/54,                ,,
      8497 ,H    ,06/02/21,     0 ,PREG    ,02/09/23,MEASURE    , 617 ,02/09/23,1150            ,                ,,
      8499 ,H    ,06/02/21,     0 ,PREG    ,03/23/23,MEASURE    , 173 ,11/22/21,  377/45,                ,,
      8499 ,H    ,06/02/21,     0 ,PREG    ,03/23/23,MEASURE    , 659 ,03/23/23,1420            ,                ,,
      8500 ,H    ,06/02/21,     0 ,PREG    ,02/09/23,MEASURE    , 173 ,11/22/21,  382/45,                ,,
      8500 ,H    ,06/02/21,     0 ,PREG    ,02/09/23,MEASURE    , 617 ,02/09/23,1260            ,                ,,
      8501 ,H    ,06/02/21,     0 ,PREG    ,03/17/23,MEASURE    , 173 ,11/22/21,  396/45,                ,,
      8501 ,H    ,06/02/21,     0 ,PREG    ,03/17/23,MEASURE    , 652 ,03/16/23,1420            ,                ,,
      8502 ,H    ,06/02/21,     0 ,PREG    ,03/02/23,MEASURE    , 173 ,11/22/21,  384/45,                ,,
      8502 ,H    ,06/02/21,     0 ,PREG    ,03/02/23,MEASURE    , 638 ,03/02/23,1400            ,                ,,
      8503 ,H    ,06/02/21,     0 ,PREG    ,03/23/23,MEASURE    , 173 ,11/22/21,  421/46,                ,,
      8503 ,H    ,06/02/21,     0 ,PREG    ,03/23/23,MEASURE    , 373 ,06/10/22,  980/55,                ,,
      8503 ,H    ,06/02/21,     0 ,PREG    ,03/23/23,MEASURE    , 659 ,03/23/23,1550            ,                ,,
      8504 ,H    ,06/02/21,     0 ,PREG    ,03/30/23,MEASURE    , 173 ,11/22/21,  404/46,                ,,
      8504 ,H    ,06/02/21,     0 ,PREG    ,03/30/23,MEASURE    , 666 ,03/30/23,1380            ,                ,,
      8506 ,H    ,06/03/21,     0 ,PREG    ,04/27/23,MEASURE    , 172 ,11/22/21,  408/46,                ,,
      8506 ,H    ,06/03/21,     0 ,PREG    ,04/27/23,MEASURE    , 390 ,06/28/22,  940/54,                ,,
      8506 ,H    ,06/03/21,     0 ,PREG    ,04/27/23,MEASURE    , 693 ,04/27/23,1540            ,                ,,
      8507 ,H    ,06/03/21,     0 ,PREG    ,02/09/23,MEASURE    , 172 ,11/22/21,  329/44,                ,,
      8507 ,H    ,06/03/21,     0 ,PREG    ,02/09/23,MEASURE    , 275 ,03/05/22,233             ,                ,,
      8507 ,H    ,06/03/21,     0 ,PREG    ,02/09/23,MEASURE    , 390 ,06/28/22,  860/54,                ,,
      8507 ,H    ,06/03/21,     0 ,PREG    ,02/09/23,MEASURE    , 616 ,02/09/23,1150            ,                ,,
      8508 ,H    ,06/03/21,     0 ,PREG    ,03/02/23,MEASURE    , 275 ,03/05/22,233             ,                ,,
      8508 ,H    ,06/03/21,     0 ,PREG    ,03/02/23,MEASURE    , 390 ,06/28/22,054/1230,                ,,
      8508 ,H    ,06/03/21,     0 ,PREG    ,03/02/23,MEASURE    , 637 ,03/02/23,1500            ,                ,,
      8509 ,H    ,06/03/21,     0 ,PREG    ,03/30/23,MEASURE    , 172 ,11/22/21,  378/45,                ,,
      8509 ,H    ,06/03/21,     0 ,PREG    ,03/30/23,MEASURE    , 275 ,03/05/22,241             ,                ,,
      8509 ,H    ,06/03/21,     0 ,PREG    ,03/30/23,MEASURE    , 390 ,06/28/22,  54/850,                ,,
      8509 ,H    ,06/03/21,     0 ,PREG    ,03/30/23,MEASURE    , 665 ,03/30/23,1350            ,                ,,
      8510 ,H    ,06/03/21,     0 ,PREG    ,02/09/23,MEASURE    , 172 ,11/22/21,  378/45,                ,,
      8510 ,H    ,06/03/21,     0 ,PREG    ,02/09/23,MEASURE    , 275 ,03/05/22,235             ,                ,,
      8510 ,H    ,06/03/21,     0 ,PREG    ,02/09/23,MEASURE    , 390 ,06/28/22,  900/54,                ,,
      8510 ,H    ,06/03/21,     0 ,PREG    ,02/09/23,MEASURE    , 616 ,02/09/23,1340            ,                ,,
      8511 ,H    ,06/03/21,     0 ,PREG    ,02/09/23,MEASURE    , 172 ,11/22/21,  394/45,                ,,
      8511 ,H    ,06/03/21,     0 ,PREG    ,02/09/23,MEASURE    , 390 ,06/28/22,  890/54,                ,,
      8511 ,H    ,06/03/21,     0 ,PREG    ,02/09/23,MEASURE    , 616 ,02/09/23,1300            ,                ,,
      8512 ,H    ,06/04/21,     0 ,PREG    ,04/06/23,MEASURE    , 171 ,11/22/21,  358/45,                ,,
      8512 ,H    ,06/04/21,     0 ,PREG    ,04/06/23,MEASURE    , 389 ,06/28/22,  980/54,                ,,
      8512 ,H    ,06/04/21,     0 ,PREG    ,04/06/23,MEASURE    , 671 ,04/06/23,1580            ,                ,,
      8513 ,H    ,06/04/21,     0 ,PREG    ,02/09/23,MEASURE    , 171 ,11/22/21,  420/46,                ,,
      8513 ,H    ,06/04/21,     0 ,PREG    ,02/09/23,MEASURE    , 274 ,03/05/22,241             ,                ,,
      8513 ,H    ,06/04/21,     0 ,PREG    ,02/09/23,MEASURE    , 389 ,06/28/22,  890/54,                ,,
      8513 ,H    ,06/04/21,     0 ,PREG    ,02/09/23,MEASURE    , 615 ,02/09/23,1250            ,                ,,
      8515 ,H    ,06/04/21,     0 , SLD/DIE,00000000 ,MEASURE    , 171 ,11/22/21,  320/43,                ,,
      8515 ,H    ,06/04/21,     0 , SLD/DIE,00000000 ,MEASURE    , 389 ,06/28/22,  840/54,                ,,
      8515 ,H    ,06/04/21,     0 , SLD/DIE,00000000 ,MEASURE    , 595 ,01/20/23,1140            ,                ,,
      8516 ,H    ,06/04/21,     0 ,PREG    ,03/23/23,MEASURE    , 171 ,11/22/21,  430/46,                ,,
      8516 ,H    ,06/04/21,     0 ,PREG    ,03/23/23,MEASURE    , 274 ,03/05/22,223             ,                ,,
      8516 ,H    ,06/04/21,     0 ,PREG    ,03/23/23,MEASURE    , 389 ,06/28/22,  54/940,                ,,
      8516 ,H    ,06/04/21,     0 ,PREG    ,03/23/23,MEASURE    , 657 ,03/23/23,1440            ,                ,,
      8517 ,H    ,06/05/21,     0 ,PREG    ,03/23/23,MEASURE    , 117 ,09/30/21,253             ,                ,,
      8517 ,H    ,06/05/21,     0 ,PREG    ,03/23/23,MEASURE    , 222 ,01/13/22,  510/49,                ,,
      8517 ,H    ,06/05/21,     0 ,PREG    ,03/23/23,MEASURE    , 389 ,06/29/22,  870/54,                ,,
      8517 ,H    ,06/05/21,     0 ,PREG    ,03/23/23,MEASURE    , 656 ,03/23/23,1390            ,                ,,
      8518 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 117 ,09/30/21,245             ,                ,,
      8518 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 222 ,01/13/22,  515/49,                ,,
      8518 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 389 ,06/29/22,  990/54,                ,,
      8518 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 614 ,02/09/23,1320            ,                ,,
      8519 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 117 ,09/30/21,224             ,                ,,
      8519 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 222 ,01/13/22,  480/48,                ,,
      8519 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 389 ,06/29/22,01000/54,                ,,
      8519 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 614 ,02/09/23,1290            ,                ,,
      8520 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 117 ,09/30/21,236             ,                ,,
      8520 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 222 ,01/13/22,  486/48,                ,,
      8520 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 388 ,06/28/22,  54/960,                ,,
      8520 ,H    ,06/05/21,     0 ,PREG    ,02/09/23,MEASURE    , 614 ,02/09/23,1400            ,                ,,
      8521 ,H    ,06/05/21,     0 ,PREG    ,03/23/23,MEASURE    , 117 ,09/30/21,213             ,                ,,
      8521 ,H    ,06/05/21,     0 ,PREG    ,03/23/23,MEASURE    , 222 ,01/13/22,  457/47,                ,,
      8521 ,H    ,06/05/21,     0 ,PREG    ,03/23/23,MEASURE    , 389 ,06/29/22,  920/53,                ,,
      8521 ,H    ,06/05/21,     0 ,PREG    ,03/23/23,MEASURE    , 656 ,03/23/23,1280            ,                ,,
      8522 ,H    ,06/05/21,     0 ,PREG    ,03/17/23,MEASURE    , 117 ,09/30/21,216             ,                ,,
      8522 ,H    ,06/05/21,     0 ,PREG    ,03/17/23,MEASURE    , 222 ,01/13/22,  540/49,                ,,
      8522 ,H    ,06/05/21,     0 ,PREG    ,03/17/23,MEASURE    , 389 ,06/29/22,  930/54,                ,,
      8522 ,H    ,06/05/21,     0 ,PREG    ,03/17/23,MEASURE    , 649 ,03/16/23,1480            ,                ,,
      8523 ,H    ,06/06/21,     0 , SLD/DIE,00000000 ,MEASURE    , 116 ,09/30/21,22              ,                ,,
      8524 ,H    ,06/06/21,     0 , SLD/DIE,00000000 ,MEASURE    , 116 ,09/30/21,231             ,                ,,
      8525 ,H    ,06/07/21,     0 ,PREG    ,03/02/23,MEASURE    , 115 ,09/30/21,226             ,                ,,
      8525 ,H    ,06/07/21,     0 ,PREG    ,03/02/23,MEASURE    , 220 ,01/13/22,  500/49,                ,,
      8525 ,H    ,06/07/21,     0 ,PREG    ,03/02/23,MEASURE    , 387 ,06/29/22,  930/54,                ,,
      8525 ,H    ,06/07/21,     0 ,PREG    ,03/02/23,MEASURE    , 633 ,03/02/23,1350            ,                ,,
      8526 ,H    ,06/07/21,     0 ,PREG    ,02/09/23,MEASURE    , 115 ,09/30/21,232             ,                ,,
      8526 ,H    ,06/07/21,     0 ,PREG    ,02/09/23,MEASURE    , 220 ,01/13/22,  600/50,                ,,
      8526 ,H    ,06/07/21,     0 ,PREG    ,02/09/23,MEASURE    , 386 ,06/28/22,054/1070,                ,,
      8526 ,H    ,06/07/21,     0 ,PREG    ,02/09/23,MEASURE    , 612 ,02/09/23,1450            ,                ,,
      8527 ,H    ,06/08/21,     0 ,PREG    ,03/02/23,MEASURE    , 114 ,09/30/21,223             ,                ,,
      8527 ,H    ,06/08/21,     0 ,PREG    ,03/02/23,MEASURE    , 212 ,01/06/22,  452/47,                ,,
      8527 ,H    ,06/08/21,     0 ,PREG    ,03/02/23,MEASURE    , 388 ,07/01/22,  800/53,                ,,
      8527 ,H    ,06/08/21,     0 ,PREG    ,03/02/23,MEASURE    , 632 ,03/02/23,1200            ,                ,,
      8528 ,H    ,06/08/21,     0 ,PREG    ,02/09/23,MEASURE    , 114 ,09/30/21,225             ,                ,,
      8528 ,H    ,06/08/21,     0 ,PREG    ,02/09/23,MEASURE    , 219 ,01/13/22,  520/48,                ,,
      8528 ,H    ,06/08/21,     0 ,PREG    ,02/09/23,MEASURE    , 386 ,06/29/22,  950/54,                ,,
      8528 ,H    ,06/08/21,     0 ,PREG    ,02/09/23,MEASURE    , 611 ,02/09/23,1250            ,                ,,
      8529 ,H    ,06/08/21,     0 , SLD/DIE,00000000 ,MEASURE    , 114 ,09/30/21,265             ,                ,,
      8529 ,H    ,06/08/21,     0 , SLD/DIE,00000000 ,MEASURE    , 219 ,01/13/22,  523/48,                ,,
      8529 ,H    ,06/08/21,     0 , SLD/DIE,00000000 ,MEASURE    , 386 ,06/29/22,  970/54,                ,,
      8529 ,H    ,06/08/21,     0 , SLD/DIE,00000000 ,MEASURE    , 492 ,10/13/22,1170            ,                ,,
      8530 ,H    ,06/08/21,     0 ,PREG    ,03/02/23,MEASURE    , 114 ,09/30/21,243             ,                ,,
      8530 ,H    ,06/08/21,     0 ,PREG    ,03/02/23,MEASURE    , 219 ,01/13/22,  564/49,                ,,
      8530 ,H    ,06/08/21,     0 ,PREG    ,03/02/23,MEASURE    , 386 ,06/29/22,  840/54,                ,,
      8530 ,H    ,06/08/21,     0 ,PREG    ,03/02/23,MEASURE    , 632 ,03/02/23,1320            ,                ,,
      8531 ,H    ,06/09/21,     0 ,PREG    ,03/02/23,MEASURE    , 113 ,09/30/21,245             ,                ,,
      8531 ,H    ,06/09/21,     0 ,PREG    ,03/02/23,MEASURE    , 218 ,01/13/22,  556/49,                ,,
      8531 ,H    ,06/09/21,     0 ,PREG    ,03/02/23,MEASURE    , 384 ,06/28/22,  54/950,                ,,
      8531 ,H    ,06/09/21,     0 ,PREG    ,03/02/23,MEASURE    , 631 ,03/02/23,1400            ,                ,,
      8532 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 112 ,09/30/21,226             ,                ,,
      8532 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 217 ,01/13/22,  520/49,                ,,
      8532 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 383 ,06/28/22,  54/990,                ,,
      8532 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 609 ,02/09/23,1300            ,                ,,
      8533 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 112 ,09/30/21,212             ,                ,,
      8533 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 217 ,01/13/22,  500/49,                ,,
      8533 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 384 ,06/29/22,01050/54,                ,,
      8533 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 609 ,02/09/23,1400            ,                ,,
      8534 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 112 ,09/30/21,224             ,                ,,
      8534 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 217 ,01/13/22,  510/50,                ,,
      8534 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 381 ,06/26/22,  900/53,                ,,
      8534 ,H    ,06/10/21,     0 ,PREG    ,02/09/23,MEASURE    , 609 ,02/09/23,1390            ,                ,,
      8535 ,H    ,06/10/21,     0 ,PREG    ,03/02/23,MEASURE    , 118 ,10/06/21,224             ,                ,,
      8535 ,H    ,06/10/21,     0 ,PREG    ,03/02/23,MEASURE    , 243 ,02/08/22,  519/48,                ,,
      8535 ,H    ,06/10/21,     0 ,PREG    ,03/02/23,MEASURE    , 398 ,07/13/22,  940/53,                ,,
      8535 ,H    ,06/10/21,     0 ,PREG    ,03/02/23,MEASURE    , 630 ,03/02/23,1290            ,                ,,
      8536 ,H    ,06/11/21,     0 , SLD/DIE,00000000 ,MEASURE    , 111 ,09/30/21,233             ,                ,,
      8536 ,H    ,06/11/21,     0 , SLD/DIE,00000000 ,MEASURE    , 216 ,01/13/22,  490/48,                ,,
      8536 ,H    ,06/11/21,     0 , SLD/DIE,00000000 ,MEASURE    , 382 ,06/28/22,  910/54,                ,,
      8536 ,H    ,06/11/21,     0 , SLD/DIE,00000000 ,MEASURE    , 413 ,07/29/22,  900/53,                ,,
      8536 ,H    ,06/11/21,     0 , SLD/DIE,00000000 ,MEASURE    , 545 ,12/08/22,1100            ,                ,,
      8537 ,H    ,06/11/21,     0 ,PREG    ,02/09/23,MEASURE    , 111 ,09/30/21,236             ,                ,,
      8537 ,H    ,06/11/21,     0 ,PREG    ,02/09/23,MEASURE    , 216 ,01/13/22,  475/48,                ,,
      8537 ,H    ,06/11/21,     0 ,PREG    ,02/09/23,MEASURE    , 383 ,06/29/22,  950/54,                ,,
      8537 ,H    ,06/11/21,     0 ,PREG    ,02/09/23,MEASURE    , 608 ,02/09/23,1350            ,                ,,
      8538 ,A    ,06/12/21,     0 ,PREG    ,03/02/23,MEASURE    , 110 ,09/30/21,228             ,                ,,
      8538 ,A    ,06/12/21,     0 ,PREG    ,03/02/23,MEASURE    , 215 ,01/13/22,  425/46,                ,,
      8538 ,A    ,06/12/21,     0 ,PREG    ,03/02/23,MEASURE    , 381 ,06/28/22,  53/890,                ,,
      8538 ,A    ,06/12/21,     0 ,PREG    ,03/02/23,MEASURE    , 628 ,03/02/23,1300            ,                ,,
      8539 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 110 ,09/30/21,224             ,                ,,
      8539 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 215 ,01/13/22,  486/48,                ,,
      8539 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 382 ,06/29/22,  920/54,                ,,
      8539 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 607 ,02/09/23,1350            ,                ,,
      8540 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 110 ,09/30/21,212             ,                ,,
      8540 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 215 ,01/13/22,  484/48,                ,,
      8540 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 381 ,06/28/22,  54/960,                ,,
      8540 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 607 ,02/09/23,1340            ,                ,,
      8541 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 110 ,09/30/21,246             ,                ,,
      8541 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 215 ,01/13/22,  550/49,                ,,
      8541 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 381 ,06/28/22,  54/970,                ,,
      8541 ,H    ,06/12/21,     0 ,PREG    ,02/09/23,MEASURE    , 607 ,02/09/23,1300            ,                ,,
      8542 ,H    ,06/14/21,     0 ,PREG    ,03/02/23,MEASURE    , 108 ,09/30/21,235             ,                ,,
      8542 ,H    ,06/14/21,     0 ,PREG    ,03/02/23,MEASURE    , 213 ,01/13/22,  454/47,                ,,
      8542 ,H    ,06/14/21,     0 ,PREG    ,03/02/23,MEASURE    , 379 ,06/28/22,  54/910,                ,,
      8542 ,H    ,06/14/21,     0 ,PREG    ,03/02/23,MEASURE    , 626 ,03/02/23,1320            ,                ,,
      8543 ,H    ,06/14/21,     0 ,PREG    ,02/09/23,MEASURE    , 108 ,09/30/21,235             ,                ,,
      8543 ,H    ,06/14/21,     0 ,PREG    ,02/09/23,MEASURE    , 213 ,01/13/22,  504/48,                ,,
      8543 ,H    ,06/14/21,     0 ,PREG    ,02/09/23,MEASURE    , 380 ,06/29/22,  990/54,                ,,
      8543 ,H    ,06/14/21,     0 ,PREG    ,02/09/23,MEASURE    , 605 ,02/09/23,1320            ,                ,,
      8544 ,H    ,06/14/21,     0 ,PREG    ,02/09/23,MEASURE    , 108 ,09/30/21,226             ,                ,,
      8544 ,H    ,06/14/21,     0 ,PREG    ,02/09/23,MEASURE    , 213 ,01/13/22,  540/50,                ,,
      8544 ,H    ,06/14/21,     0 ,PREG    ,02/09/23,MEASURE    , 379 ,06/28/22,  54/990,                ,,
      8544 ,H    ,06/14/21,     0 ,PREG    ,02/09/23,MEASURE    , 605 ,02/09/23,1280            ,                ,,
      8545 ,H    ,06/14/21,     0 ,PREG    ,03/02/23,MEASURE    , 108 ,09/30/21,235             ,                ,,
      8545 ,H    ,06/14/21,     0 ,PREG    ,03/02/23,MEASURE    , 213 ,01/13/22,  445/47,                ,,
      8545 ,H    ,06/14/21,     0 ,PREG    ,03/02/23,MEASURE    , 379 ,06/28/22,  54/790,                ,,
      8545 ,H    ,06/14/21,     0 ,PREG    ,03/02/23,MEASURE    , 626 ,03/02/23,1270            ,                ,,
