id,birth_date,breed,days_at_grower,rpro,weight,height,birth_weight,go_home_date,measure_date,age_at_measure,times_weight,total_pneu,pneu_date_1,pneu_date_2,pneu_date_3,pneu_date_4,total_diarhea,diarhea_date_1,diarhea_date_2,total_ear,ear_date_1,ear_date_2,ear_date_3,total_navel,navel_date_1,times_sick,pneu,diarhea,navel,ear,disease_status
8477,2021-05-27,HO,568,PREG,1250,,,2023-02-09,2023-02-09,623,2,1,2021-09-15,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8479,2021-05-28,HO,589,PREG,379,45,,2023-03-02,2021-11-30,186,1,1,2021-11-27,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8479,2021-05-28,HO,589,PREG,1330,,,2023-03-02,2023-03-02,643,2,1,2021-11-27,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8480,2021-05-28,HO,604,PREG,366,45,,2023-03-17,2021-11-22,178,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8480,2021-05-28,HO,604,PREG,740,54,,2023-03-17,2022-06-10,378,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8480,2021-05-28,HO,604,PREG,1420,,,2023-03-17,2023-03-16,657,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8481,2021-05-29,HO,604,PREG,422,46,,2023-03-17,2021-11-22,177,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8481,2021-05-29,HO,604,PREG,1380,,,2023-03-17,2023-03-16,656,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8482,2021-05-29,HO,568,PREG,408,46,,2023-02-09,2021-12-21,206,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8482,2021-05-29,HO,568,PREG,790,54,,2023-02-09,2022-06-29,396,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8482,2021-05-29,HO,568,PREG,1270,,,2023-02-09,2023-02-09,621,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8483,2021-05-29,HO,568,PREG,350,45,,2023-02-09,2021-11-22,177,1,1,2021-08-28,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8483,2021-05-29,HO,568,PREG,1220,,,2023-02-09,2023-02-09,621,2,1,2021-08-28,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8484,2021-05-29,HO,568,PREG,428,46,,2023-02-09,2021-11-22,177,1,1,2021-09-08,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8484,2021-05-29,HO,568,PREG,910,54,,2023-02-09,2022-06-10,377,2,1,2021-09-08,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8484,2021-05-29,HO,568,PREG,1400,,,2023-02-09,2023-02-09,621,3,1,2021-09-08,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8485,2021-05-29,HO,568,PREG,396,45,,2023-02-09,2021-11-22,177,1,1,2021-09-01,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8485,2021-05-29,HO,568,PREG,850,54,,2023-02-09,2022-06-10,377,2,1,2021-09-01,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8485,2021-05-29,HO,568,PREG,1320,,,2023-02-09,2023-02-09,621,3,1,2021-09-01,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8486,2021-05-29,HO,,SLD/DIE,302,42,,,2021-11-22,177,1,2,2021-09-22,2022-05-11,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8487,2021-05-29,HO,589,PREG,378,45,,2023-03-02,2021-11-22,177,1,1,2021-09-01,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8487,2021-05-29,HO,589,PREG,1320,,,2023-03-02,2023-03-02,642,2,1,2021-09-01,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8488,2021-05-30,HO,610,PREG,374,45,,2023-03-23,2021-11-22,176,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8488,2021-05-30,HO,610,PREG,1490,,,2023-03-23,2023-03-23,662,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8489,2021-05-30,HO,568,PREG,406,46,,2023-02-09,2021-11-22,176,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8489,2021-05-30,HO,568,PREG,820,54,,2023-02-09,2022-06-10,376,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8489,2021-05-30,HO,568,PREG,1350,,,2023-02-09,2023-02-09,620,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8490,2021-05-31,HO,568,PREG,380,45,,2023-02-09,2021-11-22,175,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8490,2021-05-31,HO,568,PREG,1250,,,2023-02-09,2023-02-09,619,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8491,2021-05-31,HO,568,PREG,378,45,,2023-02-09,2021-11-22,175,1,1,2021-09-09,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8491,2021-05-31,HO,568,PREG,820,54,,2023-02-09,2022-06-10,375,2,1,2021-09-09,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8491,2021-05-31,HO,568,PREG,1220,,,2023-02-09,2023-02-09,619,3,1,2021-09-09,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8492,2021-05-31,HO,624,PREG,370,45,,2023-04-06,2021-11-22,175,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8492,2021-05-31,HO,624,PREG,1380,,,2023-04-06,2023-04-06,675,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8493,2021-05-31,HO,604,PREG,433,47,,2023-03-17,2021-11-22,175,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8493,2021-05-31,HO,604,PREG,,,,2023-03-17,2022-06-10,375,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8493,2021-05-31,HO,604,PREG,1520,,,2023-03-17,2023-03-16,654,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8494,2021-06-01,HO,568,PREG,374,45,,2023-02-09,2021-11-22,174,1,1,2021-09-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8494,2021-06-01,HO,568,PREG,850,54,,2023-02-09,2022-06-10,374,2,1,2021-09-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8494,2021-06-01,HO,568,PREG,1280,,,2023-02-09,2023-02-09,618,3,1,2021-09-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8495,2021-06-01,HO,568,PREG,366,45,,2023-02-09,2021-11-22,174,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8495,2021-06-01,HO,568,PREG,830,54,,2023-02-09,2022-06-10,374,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8495,2021-06-01,HO,568,PREG,1320,,,2023-02-09,2023-02-09,618,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8496,2021-06-01,HO,604,PREG,354,45,,2023-03-17,2021-11-22,174,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8496,2021-06-01,HO,604,PREG,1340,,,2023-03-17,2023-03-16,653,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8497,2021-06-02,HO,568,PREG,390,45,,2023-02-09,2021-11-22,173,1,1,2021-12-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8497,2021-06-02,HO,568,PREG,800,54,,2023-02-09,2022-06-10,373,2,1,2021-12-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8497,2021-06-02,HO,568,PREG,1150,,,2023-02-09,2023-02-09,617,3,1,2021-12-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8499,2021-06-02,HO,610,PREG,377,45,,2023-03-23,2021-11-22,173,1,1,2021-09-19,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8499,2021-06-02,HO,610,PREG,1420,,,2023-03-23,2023-03-23,659,2,1,2021-09-19,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8500,2021-06-02,HO,568,PREG,382,45,,2023-02-09,2021-11-22,173,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8500,2021-06-02,HO,568,PREG,1260,,,2023-02-09,2023-02-09,617,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8501,2021-06-02,HO,604,PREG,396,45,,2023-03-17,2021-11-22,173,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8501,2021-06-02,HO,604,PREG,1420,,,2023-03-17,2023-03-16,652,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8502,2021-06-02,HO,589,PREG,384,45,,2023-03-02,2021-11-22,173,1,1,2021-08-28,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8502,2021-06-02,HO,589,PREG,1400,,,2023-03-02,2023-03-02,638,2,1,2021-08-28,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8503,2021-06-02,HO,610,PREG,421,46,,2023-03-23,2021-11-22,173,1,1,2021-08-28,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8503,2021-06-02,HO,610,PREG,980,55,,2023-03-23,2022-06-10,373,2,1,2021-08-28,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8503,2021-06-02,HO,610,PREG,1550,,,2023-03-23,2023-03-23,659,3,1,2021-08-28,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8504,2021-06-02,HO,617,PREG,404,46,,2023-03-30,2021-11-22,173,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8504,2021-06-02,HO,617,PREG,1380,,,2023-03-30,2023-03-30,666,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8506,2021-06-03,HO,645,PREG,408,46,,2023-04-27,2021-11-22,172,1,1,2021-09-09,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8506,2021-06-03,HO,645,PREG,940,54,,2023-04-27,2022-06-28,390,2,1,2021-09-09,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8506,2021-06-03,HO,645,PREG,1540,,,2023-04-27,2023-04-27,693,3,1,2021-09-09,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8507,2021-06-03,HO,568,PREG,329,44,,2023-02-09,2021-11-22,172,1,1,2021-09-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8507,2021-06-03,HO,568,PREG,233,,,2023-02-09,2022-03-05,275,2,1,2021-09-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8507,2021-06-03,HO,568,PREG,860,54,,2023-02-09,2022-06-28,390,3,1,2021-09-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8507,2021-06-03,HO,568,PREG,1150,,,2023-02-09,2023-02-09,616,4,1,2021-09-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8508,2021-06-03,HO,589,PREG,233,,,2023-03-02,2022-03-05,275,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8508,2021-06-03,HO,589,PREG,1230,54,,2023-03-02,2022-06-28,390,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8508,2021-06-03,HO,589,PREG,1500,,,2023-03-02,2023-03-02,637,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8509,2021-06-03,HO,617,PREG,378,45,,2023-03-30,2021-11-22,172,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8509,2021-06-03,HO,617,PREG,241,,,2023-03-30,2022-03-05,275,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8509,2021-06-03,HO,617,PREG,850,54,,2023-03-30,2022-06-28,390,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8509,2021-06-03,HO,617,PREG,1350,,,2023-03-30,2023-03-30,665,4,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8510,2021-06-03,HO,568,PREG,378,45,,2023-02-09,2021-11-22,172,1,1,2021-10-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8510,2021-06-03,HO,568,PREG,235,,,2023-02-09,2022-03-05,275,2,1,2021-10-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8510,2021-06-03,HO,568,PREG,900,54,,2023-02-09,2022-06-28,390,3,1,2021-10-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8510,2021-06-03,HO,568,PREG,1340,,,2023-02-09,2023-02-09,616,4,1,2021-10-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8511,2021-06-03,HO,568,PREG,394,45,,2023-02-09,2021-11-22,172,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8511,2021-06-03,HO,568,PREG,890,54,,2023-02-09,2022-06-28,390,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8511,2021-06-03,HO,568,PREG,1300,,,2023-02-09,2023-02-09,616,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8512,2021-06-04,HO,624,PREG,358,45,,2023-04-06,2021-11-22,171,1,1,2021-09-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8512,2021-06-04,HO,624,PREG,980,54,,2023-04-06,2022-06-28,389,2,1,2021-09-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8512,2021-06-04,HO,624,PREG,1580,,,2023-04-06,2023-04-06,671,3,1,2021-09-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8513,2021-06-04,HO,568,PREG,420,46,,2023-02-09,2021-11-22,171,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8513,2021-06-04,HO,568,PREG,241,,,2023-02-09,2022-03-05,274,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8513,2021-06-04,HO,568,PREG,890,54,,2023-02-09,2022-06-28,389,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8513,2021-06-04,HO,568,PREG,1250,,,2023-02-09,2023-02-09,615,4,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8515,2021-06-04,HO,,SLD/DIE,320,43,,,2021-11-22,171,1,1,2021-09-25,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8515,2021-06-04,HO,,SLD/DIE,840,54,,,2022-06-28,389,2,1,2021-09-25,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8515,2021-06-04,HO,,SLD/DIE,1140,,,,2023-01-20,595,3,1,2021-09-25,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8516,2021-06-04,HO,610,PREG,430,46,,2023-03-23,2021-11-22,171,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8516,2021-06-04,HO,610,PREG,223,,,2023-03-23,2022-03-05,274,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8516,2021-06-04,HO,610,PREG,940,54,,2023-03-23,2022-06-28,389,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8516,2021-06-04,HO,610,PREG,1440,,,2023-03-23,2023-03-23,657,4,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8517,2021-06-05,HO,610,PREG,253,,,2023-03-23,2021-09-30,117,1,,,,,,,,,1,2021-11-10,,,,,1,0,0,0,1,Ear
8517,2021-06-05,HO,610,PREG,510,49,,2023-03-23,2022-01-13,222,2,,,,,,,,,1,2021-11-10,,,,,1,0,0,0,1,Ear
8517,2021-06-05,HO,610,PREG,870,54,,2023-03-23,2022-06-29,389,3,,,,,,,,,1,2021-11-10,,,,,1,0,0,0,1,Ear
8517,2021-06-05,HO,610,PREG,1390,,,2023-03-23,2023-03-23,656,4,,,,,,,,,1,2021-11-10,,,,,1,0,0,0,1,Ear
8518,2021-06-05,HO,568,PREG,245,,,2023-02-09,2021-09-30,117,1,1,2021-10-15,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8518,2021-06-05,HO,568,PREG,515,49,,2023-02-09,2022-01-13,222,2,1,2021-10-15,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8518,2021-06-05,HO,568,PREG,990,54,,2023-02-09,2022-06-29,389,3,1,2021-10-15,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8518,2021-06-05,HO,568,PREG,1320,,,2023-02-09,2023-02-09,614,4,1,2021-10-15,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8519,2021-06-05,HO,568,PREG,224,,,2023-02-09,2021-09-30,117,1,2,2021-10-14,2021-11-11,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8519,2021-06-05,HO,568,PREG,480,48,,2023-02-09,2022-01-13,222,2,2,2021-10-14,2021-11-11,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8519,2021-06-05,HO,568,PREG,1000,54,,2023-02-09,2022-06-29,389,3,2,2021-10-14,2021-11-11,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8519,2021-06-05,HO,568,PREG,1290,,,2023-02-09,2023-02-09,614,4,2,2021-10-14,2021-11-11,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8520,2021-06-05,HO,568,PREG,236,,,2023-02-09,2021-09-30,117,1,1,2021-10-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8520,2021-06-05,HO,568,PREG,486,48,,2023-02-09,2022-01-13,222,2,1,2021-10-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8520,2021-06-05,HO,568,PREG,960,54,,2023-02-09,2022-06-28,388,3,1,2021-10-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8520,2021-06-05,HO,568,PREG,1400,,,2023-02-09,2023-02-09,614,4,1,2021-10-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8521,2021-06-05,HO,610,PREG,213,,,2023-03-23,2021-09-30,117,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8521,2021-06-05,HO,610,PREG,457,47,,2023-03-23,2022-01-13,222,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8521,2021-06-05,HO,610,PREG,920,53,,2023-03-23,2022-06-29,389,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8521,2021-06-05,HO,610,PREG,1280,,,2023-03-23,2023-03-23,656,4,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8522,2021-06-05,HO,604,PREG,216,,,2023-03-17,2021-09-30,117,1,1,2021-10-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8522,2021-06-05,HO,604,PREG,540,49,,2023-03-17,2022-01-13,222,2,1,2021-10-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8522,2021-06-05,HO,604,PREG,930,54,,2023-03-17,2022-06-29,389,3,1,2021-10-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8522,2021-06-05,HO,604,PREG,1480,,,2023-03-17,2023-03-16,649,4,1,2021-10-22,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8523,2021-06-06,HO,,SLD/DIE,,,,,2021-09-30,116,1,2,2021-09-09,2021-11-14,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8524,2021-06-06,HO,,SLD/DIE,231,,,,2021-09-30,116,1,1,2021-09-23,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8525,2021-06-07,HO,589,PREG,226,,,2023-03-02,2021-09-30,115,1,2,2021-10-14,2021-11-17,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8525,2021-06-07,HO,589,PREG,500,49,,2023-03-02,2022-01-13,220,2,2,2021-10-14,2021-11-17,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8525,2021-06-07,HO,589,PREG,930,54,,2023-03-02,2022-06-29,387,3,2,2021-10-14,2021-11-17,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8525,2021-06-07,HO,589,PREG,1350,,,2023-03-02,2023-03-02,633,4,2,2021-10-14,2021-11-17,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8526,2021-06-07,HO,568,PREG,232,,,2023-02-09,2021-09-30,115,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8526,2021-06-07,HO,568,PREG,600,50,,2023-02-09,2022-01-13,220,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8526,2021-06-07,HO,568,PREG,1070,54,,2023-02-09,2022-06-28,386,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8526,2021-06-07,HO,568,PREG,1450,,,2023-02-09,2023-02-09,612,4,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8527,2021-06-08,HO,589,PREG,223,,,2023-03-02,2021-09-30,114,1,2,2021-10-14,2022-02-05,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8527,2021-06-08,HO,589,PREG,452,47,,2023-03-02,2022-01-06,212,2,2,2021-10-14,2022-02-05,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8527,2021-06-08,HO,589,PREG,800,53,,2023-03-02,2022-07-01,388,3,2,2021-10-14,2022-02-05,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8527,2021-06-08,HO,589,PREG,1200,,,2023-03-02,2023-03-02,632,4,2,2021-10-14,2022-02-05,,,,,,,,,,,,2,1,0,0,0,Pneumonia
8528,2021-06-08,HO,568,PREG,225,,,2023-02-09,2021-09-30,114,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8528,2021-06-08,HO,568,PREG,520,48,,2023-02-09,2022-01-13,219,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8528,2021-06-08,HO,568,PREG,950,54,,2023-02-09,2022-06-29,386,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8528,2021-06-08,HO,568,PREG,1250,,,2023-02-09,2023-02-09,611,4,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8529,2021-06-08,HO,,SLD/DIE,265,,,,2021-09-30,114,1,1,2021-10-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8529,2021-06-08,HO,,SLD/DIE,523,48,,,2022-01-13,219,2,1,2021-10-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8529,2021-06-08,HO,,SLD/DIE,970,54,,,2022-06-29,386,3,1,2021-10-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8529,2021-06-08,HO,,SLD/DIE,1170,,,,2022-10-13,492,4,1,2021-10-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8530,2021-06-08,HO,589,PREG,243,,,2023-03-02,2021-09-30,114,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8530,2021-06-08,HO,589,PREG,564,49,,2023-03-02,2022-01-13,219,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8530,2021-06-08,HO,589,PREG,840,54,,2023-03-02,2022-06-29,386,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8530,2021-06-08,HO,589,PREG,1320,,,2023-03-02,2023-03-02,632,4,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8531,2021-06-09,HO,589,PREG,245,,,2023-03-02,2021-09-30,113,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8531,2021-06-09,HO,589,PREG,556,49,,2023-03-02,2022-01-13,218,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8531,2021-06-09,HO,589,PREG,950,54,,2023-03-02,2022-06-28,384,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8531,2021-06-09,HO,589,PREG,1400,,,2023-03-02,2023-03-02,631,4,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8532,2021-06-10,HO,568,PREG,226,,,2023-02-09,2021-09-30,112,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8532,2021-06-10,HO,568,PREG,520,49,,2023-02-09,2022-01-13,217,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8532,2021-06-10,HO,568,PREG,990,54,,2023-02-09,2022-06-28,383,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8532,2021-06-10,HO,568,PREG,1300,,,2023-02-09,2023-02-09,609,4,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8533,2021-06-10,HO,568,PREG,212,,,2023-02-09,2021-09-30,112,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8533,2021-06-10,HO,568,PREG,500,49,,2023-02-09,2022-01-13,217,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8533,2021-06-10,HO,568,PREG,1050,54,,2023-02-09,2022-06-29,384,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8533,2021-06-10,HO,568,PREG,1400,,,2023-02-09,2023-02-09,609,4,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8534,2021-06-10,HO,568,PREG,224,,,2023-02-09,2021-09-30,112,1,,,,,,,,,1,2021-09-24,,,,,1,0,0,0,1,Ear
8534,2021-06-10,HO,568,PREG,510,50,,2023-02-09,2022-01-13,217,2,,,,,,,,,1,2021-09-24,,,,,1,0,0,0,1,Ear
8534,2021-06-10,HO,568,PREG,900,53,,2023-02-09,2022-06-26,381,3,,,,,,,,,1,2021-09-24,,,,,1,0,0,0,1,Ear
8534,2021-06-10,HO,568,PREG,1390,,,2023-02-09,2023-02-09,609,4,,,,,,,,,1,2021-09-24,,,,,1,0,0,0,1,Ear
8535,2021-06-10,HO,589,PREG,224,,,2023-03-02,2021-10-06,118,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8535,2021-06-10,HO,589,PREG,519,48,,2023-03-02,2022-02-08,243,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
